"slug","title_en","title_ar","template_code","category_code","specialty","public_path","source_file","patient_copy","mapping_status"
"consent-form-chemical-peeling","Consent Form - Chemical Peeling","","imc-approved-consent-form-chemical-peeling","","","/approved-consent-forms/consent-form-chemical-peeling.pdf","Consent Form - Chemical Peeling.pdf","False","NEEDS_REVIEW"
"consent-form-filler","Consent Form - Filler","","imc-approved-consent-form-filler","","","/approved-consent-forms/consent-form-filler.pdf","Consent Form - Filler.pdf","False","NEEDS_REVIEW"
"consent-form-high-intensity-focused-ultrasound-hifu-consent","Consent Form -High-Intensity Focused Ultrasound (HIFU) Consent","","imc-approved-consent-form-high-intensity-focused-ultrasound-hifu-consent","","","/approved-consent-forms/consent-form-high-intensity-focused-ultrasound-hifu-consent.pdf","Consent Form -High-Intensity Focused Ultrasound (HIFU) Consent.pdf","False","NEEDS_REVIEW"
"consent-form-hydrafacial-consent-form","Consent Form -HydraFacial Consent Form","","imc-approved-consent-form-hydrafacial-consent-form","","","/approved-consent-forms/consent-form-hydrafacial-consent-form.pdf","Consent Form -HydraFacial Consent Form.pdf","False","NEEDS_REVIEW"
"consent-form-injection","Consent Form - Injection","","imc-approved-consent-form-injection","","","/approved-consent-forms/consent-form-injection.pdf","Consent Form - Injection.pdf","False","NEEDS_REVIEW"
"consent-form-isotretinoin-consent-form","Consent Form -Isotretinoin Consent Form","","imc-approved-consent-form-isotretinoin-consent-form","","","/approved-consent-forms/consent-form-isotretinoin-consent-form.pdf","Consent Form -Isotretinoin Consent Form.pdf","False","NEEDS_REVIEW"
"consent-form-laser-hair-removal-consent","Consent Form -Laser Hair Removal Consent","","imc-approved-consent-form-laser-hair-removal-consent","","","/approved-consent-forms/consent-form-laser-hair-removal-consent.pdf","Consent Form -Laser Hair Removal Consent.pdf","False","NEEDS_REVIEW"
"consent-form-laser-treatment-skin-rejuvantion-and-scar-treatment","Consent Form - Laser Treatment Skin Rejuvantion and Scar Treatment","","imc-approved-consent-form-laser-treatment-skin-rejuvantion-and-scar-treatment","","","/approved-consent-forms/consent-form-laser-treatment-skin-rejuvantion-and-scar-treatment.pdf","Consent Form - Laser Treatment Skin Rejuvantion and Scar Treatment.pdf","False","NEEDS_REVIEW"
"consent-form-microneedling-radiofrequency-matrix-pro-consent","Consent Form -Microneedling Radiofrequency (Matrix Pro) Consent","","imc-approved-consent-form-microneedling-radiofrequency-matrix-pro-consent","","","/approved-consent-forms/consent-form-microneedling-radiofrequency-matrix-pro-consent.pdf","Consent Form -Microneedling Radiofrequency (Matrix Pro) Consent.pdf","False","NEEDS_REVIEW"
"consent-form-phototherapy-excimer-laser-consent-form","Consent Form -Phototherapy Excimer Laser Consent Form","","imc-approved-consent-form-phototherapy-excimer-laser-consent-form","","","/approved-consent-forms/consent-form-phototherapy-excimer-laser-consent-form.pdf","Consent Form -Phototherapy Excimer Laser Consent Form.pdf","False","NEEDS_REVIEW"
